CustomerID,CustomerName,Country,Region
C0050,Kwame Sharma,Japan,Asia
C0051,Thomas Muller,South Africa,Africa
C0052,Susan Novak,Argentina,South America
C0053,Noah Miller,Netherlands,Europe
C0054,Kwame Nguyen,India,Asia
C0055,Sven Brown,Spain,Europe
C0056,Yuki Smith,United States,North America
C0057,Sofia Davis,Japan,Asia
C0058,Thabo Johnson,Mexico,North America
C0059,Yuki Williams,United States,North America
C0060,Kwame Sharma,France,Europe
C0061,Olivia Novak,United States,North America
C0062,Lars Davis,Chile,South America
C0063,Richard Brown,India,Asia
C0064,Hiro Kim,Canada,North America
C0065,Patricia Kobayashi,Netherlands,Europe
C0066,Patricia Tanaka,China,Asia
C0067,Jessica Miller,China,Asia
C0068,William Kim,Canada,North America
C0069,Jessica Okafor,Canada,North America
C0070,Marta Brown,Nigeria,Africa
C0071,James Williams,Mexico,North America
C0072,David Kim,South Africa,Africa
C0073,Raj Mensah,United Kingdom,Europe
C0074,James Tanaka,Canada,North America
C0075,Charles Kim,Italy,Europe
C0076,Kwame Dubois,Singapore,Asia
C0077,Charles Miller,United Kingdom,Europe
C0078,Emma Wang,Australia,Australia
C0079,Lars Muller,Mexico,North America
C0080,David Johnson,Egypt,Africa
C0081,Barbara Williams,Australia,Australia
C0082,Raj Brown,Japan,Asia
C0083,Jessica Silva,Egypt,Africa
C0084,Jennifer Kim,Singapore,Asia
C0085,Giulia Wang,Singapore,Asia
C0086,Kwame Dubois,South Africa,Africa
C0087,Raj Jones,France,Europe
C0088,Ingrid Wang,South Korea,Asia
C0089,James Patel,South Africa,Africa
C0090,Michael Williams,Singapore,Asia
C0091,Thomas Jones,Spain,Europe
C0092,Jessica Chen,South Africa,Africa
C0093,Hans Dubois,Italy,Europe
C0094,Giulia Smith,Netherlands,Europe
C0095,Karen Novak,Singapore,Asia
C0096,Thomas Brown,Japan,Asia
C0097,Marta Jones,Chile,South America
C0098,Susan Dubois,Spain,Europe
C0099,Thabo Okafor,Netherlands,Europe
C0100,Thomas Mensah,Italy,Europe
C0101,Jennifer Nguyen,South Africa,Africa
C0102,John Smith,France,Europe
C0103,Thabo Rodriguez,United Kingdom,Europe
C0104,Marta Dubois,Canada,North America
C0105,Linda Williams,Germany,Europe
C0106,Elizabeth Rossi,Egypt,Africa
C0107,Sofia Rossi,Canada,North America
C0108,John Martinez,United States,North America
C0109,Hiro Miller,Germany,Europe
C0110,Hiro Costa,China,Asia
C0111,Valentina Fischer,Italy,Europe
C0112,David Santos,United States,North America
C0113,Mary Garcia,India,Asia
C0114,Priya Santos,South Korea,Asia
C0115,Sarah Garcia,Japan,Asia
C0116,Aiko Okafor,China,Asia
C0117,Joseph Miller,Canada,North America
C0118,Hiro Martinez,India,Asia
C0119,Joseph Smith,Japan,Asia
C0120,Yuki Rodriguez,India,Asia
C0121,Hiro Nguyen,Argentina,South America
C0122,Hans Wang,Netherlands,Europe
C0123,Thomas Garcia,South Africa,Africa
C0124,John Brown,South Korea,Asia
C0125,Olivia Santos,South Korea,Asia
C0126,Luca Brown,Spain,Europe
C0127,Richard Rodriguez,Spain,Europe
C0128,James Muller,Canada,North America
C0129,Chidi Fischer,Egypt,Africa
C0130,Kwame Miller,Egypt,Africa
C0131,Kwame Novak,Germany,Europe
C0132,Kwame Okafor,France,Europe
C0133,Luca Martinez,Canada,North America
C0134,Raj Dubois,South Korea,Asia
C0135,Richard Kim,United Kingdom,Europe
C0136,Chidi Fischer,India,Asia
C0137,Carlos Martinez,Egypt,Africa
C0138,Karen Martinez,Germany,Europe
C0139,Diego Nguyen,Mexico,North America
C0140,Sven Kobayashi,Italy,Europe
